715E;T9504M;Nightmare Creatures II v1.000 (2000)(Konami)(US)[!]
75F7;T-9502D-50;Nightmare Creatures II v1.004 (2000)(Konami)(PAL)(M4)[!]
96C0;T44502M;Nishikaze no Rhapsody - The Rhapsody of Zephyr v1.003 (2001)(Softmax)(JP)[!]
8C6E;T37901M;Plus Plumb v1.073 (1999)(Takuyo)(JP)[!]
5046;T-17713N;POD - Speedzone v1.002 (2000)(Ubi Soft)(US)[!]
D549;T44801M;Princess Maker Collection v1.004 (2001)(GeneX)(JP)[!]
5A55;T42301M;Puzzle Bobble 4 v1.000 (2000)(Cyberfront - Taito)(JP)[!]
4780;T40403N;Q-bert v1.003 (2000)(Majesco)(US)[!]
DFDB;T41902N;Railroad Tycoon II - Gold Edition v1.004 (2000)(GOD)(US)[!]
3586;T40505D 50;Railroad Tycoon II v1.002 (2000)(Take 2)(PAL)(M3)[!]
F9C0;T40219N;Razor Freestyle Scooter v1.000 (2001)(Crave)(US)[!]
3E02;T7004D  50;Resident Evil 2 v1.000 (2000)(Virgin)(PAL)(en-fr)(Disc 1 of 2)[!][Leon] ... (Disc 2 of 2)[!][Claire]
5D92;T1205N;Resident Evil 2 v1.001 (2000)(Capcom)(US)(Disc 1 of 2)[!][Leon] ... (Disc 2 of 2)[!][Claire]
CC8A;T22901N;Roadsters v1.007 (2000)(Titus)(US)[!]
FBF7;T14304M;Rune Jade v1.027 (2000)(Hudson)(JP)[!]
94FB;MK-5101950;Sega Rally 2 v1.001 (1999)(Sega)(PAL)[!]
F6C8;MK-51019;Sega Rally 2 v1.003 (1999)(Sega)(US)[!]
E105;HDR0010;Sega Rally 2 v1.04 (1999)(Sega)(JP)[!]
C823;T35101M;Shinseiki Evangelion - Typing E Keikaku v1.001 (2001)(Gainax)(JP)[!][req. keyboard]
80BA;T35102M;Shinseiki Evangelion - Typing Hokan Keikaku v1.002 (2001)(Gainax)(JP)[!][req. keyboard][AKA Evangelion Type C]
F51D;T17722D 50;SnoCross - Championship Racing v1.000 (2000)(Crave - Ubi Soft)(PAL)(M3)[!]
A9CF;T40207N;SnoCross - Championship Racing v1.000 (2000)(Crave)(US)[!]
